rank,classifier,feature_set,n_features,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1
1,logistic_regression,bow_lexicon,17487,0.799,0.7991723232581966,0.799,0.7989710518314638,0.7989710518314638
2,logistic_regression,bow,17478,0.793,0.7937944201119828,0.7929999999999999,0.7928599733419792,0.7928599733419792
3,naive_bayes,bow_lexicon,17487,0.787,0.7872941892497918,0.787,0.7869454580372576,0.7869454580372576
4,binary_naive_bayes,bow_lexicon,17487,0.785,0.7850558709507063,0.785,0.7849894644837596,0.7849894644837596
5,naive_bayes,bow,17478,0.7805,0.7816177408132879,0.7805,0.7802819847994171,0.7802819847994171
6,binary_naive_bayes,bow,17478,0.776,0.7772821526739644,0.776,0.7757407563142993,0.7757407563142994
7,logistic_regression,lexicon,9,0.651,0.6532061688311688,0.651,0.6497390606182256,0.6497390606182256
8,binary_naive_bayes,lexicon,9,0.647,0.6497701486697965,0.647,0.6453601453119223,0.6453601453119223
9,naive_bayes,lexicon,9,0.646,0.6508887970235635,0.646,0.6431091843935881,0.6431091843935881
