penalty,best_C,train_f1,val_f1,test_f1,test_accuracy,test_precision,test_recall,n_nonzero_coefs
l1,10.0,0.998355,0.997585,0.983094,0.968008,0.997401,0.969192,18
l2,0.01,0.99781,0.99759,0.997477,0.995153,0.996472,0.998485,18
