tokens,types,log_tokens,log_types
1000,777,6.907755278982137,6.655440350367647
2000,1464,7.600902459542082,7.288927694521257
3000,2104,8.006367567650246,7.651595573857601
4000,2662,8.294049640102028,7.8868329989550565
5000,3180,8.517193191416238,8.064636475774222
6000,3666,8.699514748210191,8.20685642839965
7000,4197,8.85366542803745,8.34212526333359
8000,4643,8.987196820661973,8.443115988019922
9000,5135,9.104979856318357,8.543835122362658
10000,5576,9.210340371976184,8.62622695244036
11000,6109,9.305650551780507,8.717518372649767
12000,6602,9.392661928770137,8.795127912413138
13000,7137,9.472704636443673,8.873047798971067
14000,7547,9.546812608597396,8.928905412284868
15000,7982,9.615805480084347,8.984944285608679
16000,8371,9.680344001221918,9.032528630660057
17000,8827,9.740968623038354,9.085570485020233
18000,9227,9.798127036878302,9.129889247578555
19000,9665,9.852194258148577,9.17626639164243
20000,10114,9.903487552536127,9.221675881639928
21000,10563,9.95227771670556,9.265112607823163
22000,10927,9.998797732340453,9.298992069570746
23000,11305,10.043249494911286,9.33300038471207
24000,11698,10.085809109330082,9.36717316600297
25000,12150,10.126631103850338,9.405084448768694
26000,12593,10.165851817003619,9.440896383005846
27000,12964,10.203592144986466,9.469931564261438
28000,13326,10.239959789157341,9.497472293122483
29000,13709,10.275051108968611,9.5258078304359
30000,14096,10.308952660644293,9.553646348175961
31000,14519,10.341742483467284,9.583213415483687
32000,14967,10.373491181781864,9.613603056529147
33000,15380,10.404262840448617,9.640823243059636
34000,15798,10.4341158035983,9.667638628724365
35000,16218,10.46310334047155,9.693877015504503
36000,16605,10.491274217438248,9.717459133810847
37000,16984,10.51867319162636,9.740027003383092
38000,17352,10.545341438708522,9.761463052506711
39000,17733,10.571316925111784,9.78318258949248
40000,18124,10.596634733096073,9.804992305787028
41000,18404,10.621327345686446,9.82032331127536
42000,18743,10.645424897265505,9.838575628358985
43000,19076,10.668955394675699,9.856186279418115
44000,19436,10.691944912900398,9.874882295525794
45000,19733,10.714417768752456,9.890047640169426
46000,20118,10.736396675471232,9.909370215694283
47000,20489,10.757902880692196,9.9276434357472
48000,20803,10.778956289890028,9.942852486058383
49000,21093,10.799575577092764,9.956696510867271
50000,21420,10.819778284410283,9.97208034400174
51000,21728,10.839580911706463,9.986357030358423
