method,order,params_json,train_perplexity,val_perplexity,val_zero_prob_events,val_unseen_rate
interpolation,3,"{""lambda1"": 0.3, ""lambda2"": 0.5, ""lambda3"": 0.2}",7.78991939285613,524.0488698639966,0,0.0
interpolation,3,"{""lambda1"": 0.3, ""lambda2"": 0.6, ""lambda3"": 0.1}",11.514967281198897,508.5493951225412,0,0.0
interpolation,3,"{""lambda1"": 0.3, ""lambda2"": 0.7, ""lambda3"": 0.0}",41.65641751928093,510.86698599787354,0,0.0
interpolation,3,"{""lambda1"": 0.4, ""lambda2"": 0.0, ""lambda3"": 0.6}",3.7600074208829395,834.5742597064614,0,0.0
interpolation,3,"{""lambda1"": 0.4, ""lambda2"": 0.1, ""lambda3"": 0.5}",4.314761704732662,597.7216896336873,0,0.0
interpolation,3,"{""lambda1"": 0.4, ""lambda2"": 0.2, ""lambda3"": 0.4}",5.0805840357763135,536.9268310296129,0,0.0
interpolation,3,"{""lambda1"": 0.4, ""lambda2"": 0.3, ""lambda3"": 0.3}",6.216596308120611,500.07462435039315,0,0.0
interpolation,3,"{""lambda1"": 0.4, ""lambda2"": 0.4, ""lambda3"": 0.2}",8.11270731070796,475.3636825588064,0,0.0
interpolation,3,"{""lambda1"": 0.4, ""lambda2"": 0.5, ""lambda3"": 0.1}",12.131127235881932,459.4768305034451,0,0.0
interpolation,3,"{""lambda1"": 0.4, ""lambda2"": 0.6, ""lambda3"": 0.0}",46.52634212618079,461.0093218245683,0,0.0
interpolation,3,"{""lambda1"": 0.5, ""lambda2"": 0.0, ""lambda3"": 0.5}",4.4425807712302285,706.6047435117778,0,0.0
interpolation,3,"{""lambda1"": 0.5, ""lambda2"": 0.1, ""lambda3"": 0.4}",5.248683835950635,523.1117853931011,0,0.0
interpolation,3,"{""lambda1"": 0.5, ""lambda2"": 0.2, ""lambda3"": 0.3}",6.452594965561245,475.34205339880924,0,0.0
interpolation,3,"{""lambda1"": 0.5, ""lambda2"": 0.3, ""lambda3"": 0.2}",8.481745264349426,446.87766712468283,0,0.0
interpolation,3,"{""lambda1"": 0.5, ""lambda2"": 0.4, ""lambda3"": 0.1}",12.853402648244996,429.34557114025125,0,0.0
interpolation,3,"{""lambda1"": 0.5, ""lambda2"": 0.5, ""lambda3"": 0.0}",52.944834803013606,429.92972337161103,0,0.0
interpolation,3,"{""lambda1"": 0.6, ""lambda2"": 0.0, ""lambda3"": 0.4}",5.439451949005016,619.8111739300182,0,0.0
interpolation,3,"{""lambda1"": 0.6, ""lambda2"": 0.1, ""lambda3"": 0.3}",6.722968493382095,470.9859490560918,0,0.0
interpolation,3,"{""lambda1"": 0.6, ""lambda2"": 0.2, ""lambda3"": 0.2}",8.911245363209666,432.61999539443747,0,0.0
interpolation,3,"{""lambda1"": 0.6, ""lambda2"": 0.3, ""lambda3"": 0.1}",13.719253779234124,411.43158929639543,0,0.0
interpolation,3,"{""lambda1"": 0.6, ""lambda2"": 0.4, ""lambda3"": 0.0}",61.85601419105361,410.6110496862371,0,0.0
interpolation,3,"{""lambda1"": 0.7, ""lambda2"": 0.0, ""lambda3"": 0.3}",7.039881570413557,558.1999885308389,0,0.0
interpolation,3,"{""lambda1"": 0.7, ""lambda2"": 0.1, ""lambda3"": 0.2}",9.42381726798009,433.86167507244573,0,0.0
interpolation,3,"{""lambda1"": 0.7, ""lambda2"": 0.2, ""lambda3"": 0.1}",14.790450542322331,403.7713760633974,0,0.0
interpolation,3,"{""lambda1"": 0.7, ""lambda2"": 0.3, ""lambda3"": 0.0}",75.23642183464807,400.39320963807273,0,0.0
interpolation,3,"{""lambda1"": 0.8, ""lambda2"": 0.0, ""lambda3"": 0.2}",10.060008101306614,514.2607680435362,0,0.0
interpolation,3,"{""lambda1"": 0.8, ""lambda2"": 0.1, ""lambda3"": 0.1}",16.181508680972584,409.14183442875503,0,0.0
interpolation,3,"{""lambda1"": 0.8, ""lambda2"": 0.2, ""lambda3"": -0.0}",98.17130129892091,399.4151514805348,0,0.0
interpolation,3,"{""lambda1"": 0.9, ""lambda2"": 0.0, ""lambda3"": 0.1}",18.155880901476923,486.15462082398005,0,0.0
interpolation,3,"{""lambda1"": 0.9, ""lambda2"": 0.1, ""lambda3"": -0.0}",150.21735590865137,412.8541075545864,0,0.0
interpolation,3,"{""lambda1"": 1.0, ""lambda2"": 0.0, ""lambda3"": 0.0}",1173.2022890035564,528.5580998169333,0,0.0
backoff,3,"{""discount"": 0.5}",4.462626973794563,501.22125532811407,0,0.0
backoff,3,"{""discount"": 0.75}",8.444841570466899,421.50175369588425,0,0.0
backoff,3,"{""discount"": 1.0}",inf,inf,2408,0.17269076305220885
kneser_ney,3,"{""discount"": 0.5}",3.9925595389817823,540.7162134147371,0,0.0
kneser_ney,3,"{""discount"": 0.75}",6.870964899133192,412.40379594306023,0,0.0
kneser_ney,3,"{""discount"": 1.0}",567.2603585572288,435.8734766885715,0,0.0
