method,order,best_params_json,train_perplexity,val_perplexity,test_perplexity,zero_prob_events_test,unseen_rate_test
laplace,2,"{""alpha"": 1.0}",2692.0119168915985,2186.5258539964557,3192.0239935886975,0,0.0
interpolation,2,"{""lambda1"": 0.5, ""lambda2"": 0.5}",54.82520367828245,429.92972337161103,642.0106010620483,0,0.0
backoff,2,"{""discount"": 0.75}",80.68596509222463,410.5605661866399,600.6679187008604,0,0.0
kneser_ney,2,"{""discount"": 0.75}",71.93924849274671,398.8789965877835,586.8364550954786,0,0.0
laplace,3,"{""alpha"": 1.0}",4491.516673266783,5967.738368326372,7850.224022937087,0,0.0
interpolation,3,"{""lambda1"": 0.8, ""lambda2"": 0.2, ""lambda3"": -0.0}",102.52185986629989,399.4151514805348,580.9309088640216,0,0.0
backoff,3,"{""discount"": 0.75}",8.35661304453344,421.50175369588425,634.049069484171,0,0.0
kneser_ney,3,"{""discount"": 0.75}",6.842003529354062,412.40379594306023,634.3167729885017,0,0.0
