token_id,token,corpus_frequency
400,ana,56
401,başı,56
402,bəri,56
403,cami,56
404,deyir,56
405,dilbər,56
406,dur,56
407,eylərəm,56
408,qul,56
409,qız,56
410,sahibi,56
411,zar,56
412,d,55
413,eyləmə,55
414,ikən,55
415,könlümü,55
416,lütf,55
417,sağ,55
418,ələ,55
419,aləmi,54
420,beş,54
421,camalın,54
422,düşüb,54
423,edən,54
424,güli,54
425,hiç,54
426,keçdi,54
427,nеcə,54
428,saz,54
429,səba,54
430,tutar,54
431,açdı,53
432,döndü,53
433,edir,53
434,etmək,53
435,gördülər,53
436,görünür,53
437,gözün,53
438,gələ,53
439,ndi,53
440,pul,53
441,tərəf,53
442,xan,53
443,yеnə,53
444,zahid,53
445,üstündə,53
446,əmi,53
447,işi,52
448,mələk,52
449,səri,52
450,xəlq,52
451,çək,52
452,əyan,52
453,оl,52
454,açıb,51
455,bəla,51
456,bəndini,51
457,ha,51
458,hansı,51
459,hasil,51
460,hǝr,51
461,q,51
462,qafil,51
463,qoyub,51
464,vəli,51
465,ötrü,51
466,şəkər,51
467,ayinə,50
468,gözəllər,50
469,gəlsin,50
470,qalmadı,50
471,sazını,50
472,verər,50
473,yad,50
474,özünə,50
475,bilmədi,49
476,böyük,49
477,cavad,49
478,hüsnün,49
479,izhar,49
480,leyk,49
481,qəmi,49
482,sarı,49
483,siz,49
484,zülfi,49
485,şey,49
486,bildi,48
487,deyib,48
488,dust,48
489,gündən,48
490,gətir,48
491,gətirdi,48
492,ləbi,48
493,ləbin,48
494,ləhzə,48
495,məcnun,48
496,saçın,48
497,çay,48
498,ərz,48
499,alının,47
500,artıq,47
501,dəyər,47
502,gəldin,47
503,hamısı,47
504,odur,47
505,olaydı,47
506,olmasa,47
507,pişik,47
508,sənəm,47
509,tərif,47
510,tеz,47
511,burada,46
512,cana,46
513,dağlar,46
514,deyin,46
515,dövlət,46
516,düşmüşəm,46
517,dərdü,46
518,müdam,46
519,nеçə,46
520,qızıl,46
521,sirri,46
522,söylə,46
523,vеrdi,46
524,yan,46
525,əsədullah,46
526,əzizlərim,46
527,axşam,45
528,göy,45
529,iman,45
530,mülki,45
531,oğlan,45
532,qılır,45
533,rüxün,45
534,salıb,45
535,xəncər,45
536,yara,45
537,yarı,45
538,aşiqi,44
539,cam,44
540,düşmən,44
541,eyləyib,44
542,görmədim,44
543,istərəm,44
544,məst,44
545,qəza,44
546,sanma,44
547,səfa,44
548,tərki,44
549,vəfa,44
550,xar,44
551,yandı,44
552,bahar,43
553,birisi,43
554,bizi,43
555,cəfa,43
556,durub,43
557,dе,43
558,eşqə,43
559,g,43
560,get,43
561,olmaq,43
562,qaşın,43
563,rəhm,43
564,sal,43
565,səndə,43
566,vəslin,43
567,yavaş,43
568,yeri,43
569,əvvəl,43
570,ara,42
571,arif,42
572,buna,42
573,bəyan,42
574,cavan,42
575,fikir,42
576,gündüz,42
577,həqdən,42
578,istəməz,42
579,mah,42
580,məndə,42
581,nalə,42
582,qəlbi,42
583,qələm,42
584,sa,42
585,sanki,42
586,vaxt,42
587,vurdu,42
588,yaşı,42
589,atəşi,41
590,başını,41
591,candan,41
592,cənnət,41
593,dağ,41
594,dilə,41
595,dərdim,41
596,el,41
597,hərdəm,41
598,inan,41
599,ləli,41
600,qeyri,41
601,qəbul,41
602,qəmdən,41
603,qəmər,41
604,ruzi,41
605,torpaq,41
606,yarın,41
607,şükr,41
608,əzəldən,41
609,anı,40
610,atını,40
611,canü,40
612,daş,40
613,doğru,40
614,eləyib,40
615,eyləməz,40
616,gülə,40
617,gələr,40
618,həmin,40
619,mahi,40
620,mal,40
621,məclis,40
622,olubdur,40
623,rəhim,40
624,seyr,40
625,səbr,40
626,zahir,40
627,əlin,40
628,əlində,40
629,altı,39
630,bеş,39
631,dana,39
632,götür,39
633,ilən,39
634,işə,39
635,kimin,39
636,nihan,39
637,odu,39
638,surətin,39
639,təzə,39
640,xoşdur,39
641,ürək,39
642,alır,38
643,aşiqə,38
644,canını,38
645,deyim,38
646,etsə,38
647,fəda,38
648,həyat,38
649,işin,38
650,kəsə,38
651,parə,38
652,tərəfə,38
653,yanar,38
654,zülm,38
655,şərab,38
656,ələsgərdən,38
657,adını,37
658,alməmməd,37
659,ayə,37
660,başında,37
661,burda,37
662,bəhri,37
663,canə,37
664,cür,37
665,dal,37
666,darı,37
667,düşdüm,37
668,dеyil,37
669,getmə,37
670,gеtdi,37
671,halı,37
672,kamil,37
673,saat,37
674,sǝn,37
675,uzun,37
676,viran,37
677,çarə,37
678,çörək,37
679,ələsgərlə,37
680,əsər,37
681,adamlar,36
682,ahü,36
683,azad,36
684,bağrım,36
685,deyə,36
686,deyən,36
687,ehsan,36
688,eyləyən,36
689,fikri,36
690,gecələr,36
691,gedib,36
692,gövhər,36
693,könlümün,36
694,oxudu,36
695,pak,36
696,qoyma,36
697,qönçə,36
698,vaxtı,36
699,vermə,36
700,yada,36
701,yaz,36
702,yolda,36
703,çıxıb,36
704,еylə,36
705,ayaq,35
706,açıldı,35
707,bala,35
708,bağ,35
709,dar,35
710,derlər,35
711,gözlərin,35
712,həmdəm,35
713,nar,35
714,oldur,35
715,qılma,35
716,qərq,35
717,rəngi,35
718,siyah,35
719,sözləri,35
720,süleyman,35
721,uş,35
722,xəyal,35
723,çıxartdı,35
724,üzündə,35
725,ələsgərgil,35
726,allaha,34
727,arasında,34
728,aya,34
729,badi,34
730,bal,34
731,birinə,34
732,budu,34
733,bəzmi,34
734,dərdinə,34
735,dеyir,34
736,eşqi,34
737,görmüşəm,34
738,gözümdən,34
739,hənuz,34
740,kişinin,34
741,lalə,34
742,musa,34
743,oldun,34
744,olmasın,34
745,qoymaz,34
746,qızı,34
747,çü,34
748,özüm,34
749,şam,34
750,əhlinə,34
751,əşi,34
752,arvad,33
753,ağır,33
754,bərabər,33
755,eyləmiş,33
756,gözləri,33
757,hali,33
758,hesab,33
759,kеçdi,33
760,nazik,33
761,nişan,33
762,olmuşdur,33
763,onların,33
764,sirrini,33
765,sərv,33
766,tazə,33
767,verə,33
768,verən,33
769,xeyli,33
770,yarə,33
771,yolu,33
772,çəkmə,33
773,əldən,33
774,əşk,33
775,adlı,32
776,ağlar,32
777,aşikar,32
778,başdan,32
779,bilmirəm,32
780,cahanı,32
781,dağı,32
782,deyiləm,32
783,din,32
784,dərdin,32
785,etməz,32
786,gözdən,32
787,hey,32
788,hörmət,32
789,kimə,32
790,kömək,32
791,lakin,32
792,li,32
793,onlara,32
794,pulu,32
795,qardaş,32
796,qayıtdı,32
797,qaşların,32
798,qıj,32
799,söyün,32
800,sözüm,32
801,vey,32
802,yaradan,32
803,yerdən,32
804,yəni,32
805,yеrə,32
806,zövq,32
807,çərxi,32
808,əlbəttə,32
809,əldə,32
810,əmə,32
811,əql,32
812,adın,31
813,ayağa,31
814,baxdı,31
815,birdən,31
816,bunlar,31
817,dövləti,31
818,dövri,31
819,dərya,31
820,etdin,31
821,gərəkdir,31
822,kor,31
823,külli,31
824,kəm,31
825,kəsildi,31
826,layiq,31
827,lazım,31
828,necin,31
829,olduğun,31
830,qalıb,31
831,qanı,31
