token,term_frequency,document_frequency
ana,56,42
başı,56,45
bəri,56,32
cami,56,50
deyir,56,27
dilbər,56,46
dur,56,45
eylərəm,56,41
qul,56,50
qız,56,21
sahibi,56,45
zar,56,48
d,55,7
eyləmə,55,36
ikən,55,46
könlümü,55,44
lütf,55,50
sağ,55,33
ələ,55,33
aləmi,54,47
beş,54,29
camalın,54,48
düşüb,54,47
edən,54,44
güli,54,52
hiç,54,51
keçdi,54,34
nеcə,54,26
saz,54,28
səba,54,47
tutar,54,28
açdı,53,40
döndü,53,25
edir,53,31
etmək,53,35
gördülər,53,16
görünür,53,29
gözün,53,50
gələ,53,22
ndi,53,34
pul,53,20
tərəf,53,34
xan,53,22
yеnə,53,13
zahid,53,49
üstündə,53,35
əmi,53,10
işi,52,38
mələk,52,48
səri,52,49
xəlq,52,40
çək,52,37
əyan,52,42
оl,52,24
açıb,51,36
bəla,51,47
bəndini,51,11
ha,51,27
hansı,51,33
hasil,51,45
hǝr,51,31
q,51,6
qafil,51,47
qoyub,51,42
vəli,51,49
ötrü,51,19
şəkər,51,44
ayinə,50,12
gözəllər,50,35
gəlsin,50,29
qalmadı,50,33
sazını,50,12
verər,50,32
yad,50,40
özünə,50,32
bilmədi,49,21
böyük,49,28
cavad,49,1
hüsnün,49,42
izhar,49,37
leyk,49,36
qəmi,49,44
sarı,49,23
siz,49,21
zülfi,49,46
şey,49,29
bildi,48,38
deyib,48,36
dust,48,29
gündən,48,38
gətir,48,27
gətirdi,48,30
ləbi,48,46
ləbin,48,45
ləhzə,48,37
məcnun,48,45
saçın,48,44
çay,48,20
ərz,48,36
alının,47,4
artıq,47,34
dəyər,47,17
gəldin,47,14
hamısı,47,20
odur,47,33
olaydı,47,16
olmasa,47,36
pişik,47,7
sənəm,47,36
tərif,47,17
tеz,47,12
burada,46,15
cana,46,39
dağlar,46,26
deyin,46,11
dövlət,46,36
düşmüşəm,46,20
dərdü,46,43
müdam,46,42
nеçə,46,21
qızıl,46,31
sirri,46,38
söylə,46,34
vеrdi,46,14
yan,46,40
əsədullah,46,2
əzizlərim,46,11
axşam,45,22
göy,45,35
iman,45,38
mülki,45,40
oğlan,45,16
qılır,45,43
rüxün,45,34
salıb,45,39
xəncər,45,12
yara,45,29
yarı,45,35
aşiqi,44,42
cam,44,31
düşmən,44,26
eyləyib,44,38
görmədim,44,23
istərəm,44,18
məst,44,29
qəza,44,33
sanma,44,40
səfa,44,35
tərki,44,41
vəfa,44,36
xar,44,32
yandı,44,35
bahar,43,36
birisi,43,29
bizi,43,33
cəfa,43,38
durub,43,37
dе,43,8
eşqə,43,38
g,43,8
get,43,23
olmaq,43,39
qaşın,43,41
rəhm,43,41
sal,43,35
səndə,43,38
vəslin,43,38
yavaş,43,8
yeri,43,34
əvvəl,43,35
ara,42,34
arif,42,38
buna,42,28
bəyan,42,34
cavan,42,31
fikir,42,19
gündüz,42,33
həqdən,42,32
istəməz,42,17
mah,42,39
məndə,42,33
nalə,42,33
qəlbi,42,35
qələm,42,32
sa,42,23
sanki,42,29
vaxt,42,25
vurdu,42,38
yaşı,42,35
atəşi,41,37
başını,41,33
candan,41,36
cənnət,41,37
dağ,41,32
dilə,41,28
dərdim,41,34
el,41,35
hərdəm,41,36
inan,41,14
ləli,41,40
qeyri,41,26
qəbul,41,30
qəmdən,41,35
qəmər,41,36
ruzi,41,35
torpaq,41,21
yarın,41,34
şükr,41,38
əzəldən,41,33
anı,40,35
atını,40,17
canü,40,36
daş,40,32
doğru,40,34
eləyib,40,20
eyləməz,40,34
gülə,40,24
gələr,40,33
həmin,40,20
mahi,40,37
mal,40,20
məclis,40,23
olubdur,40,35
rəhim,40,5
seyr,40,36
səbr,40,25
zahir,40,34
əlin,40,36
əlində,40,32
altı,39,20
bеş,39,12
dana,39,17
götür,39,32
ilən,39,31
işə,39,26
kimin,39,28
nihan,39,37
odu,39,29
surətin,39,33
təzə,39,25
xoşdur,39,20
ürək,39,25
alır,38,36
aşiqə,38,36
canını,38,33
deyim,38,21
etsə,38,29
fəda,38,23
həyat,38,32
işin,38,27
kəsə,38,31
parə,38,24
tərəfə,38,23
yanar,38,25
zülm,38,35
şərab,38,25
ələsgərdən,38,17
adını,37,23
alməmməd,37,2
ayə,37,28
başında,37,26
burda,37,15
bəhri,37,33
canə,37,34
cür,37,26
dal,37,24
darı,37,7
düşdüm,37,32
dеyil,37,19
getmə,37,16
gеtdi,37,11
halı,37,34
kamil,37,32
saat,37,21
