model,epoch,avg_weighted_loss,pairs_seen
glove,1,0.02725417986812689,876452
glove,2,0.024243576229034842,876452
glove,3,0.022106919713331848,876452
glove,4,0.019211993579960927,876452
glove,5,0.017738883825016486,876452
glove,6,0.01691703769432663,876452
glove,7,0.0163592625580456,876452
glove,8,0.015937999222816968,876452
glove,9,0.01559164754894137,876452
glove,10,0.015303329169538001,876452
glove,11,0.01507748801069362,876452
glove,12,0.014900569410617903,876452
glove,13,0.014748029846079718,876452
glove,14,0.014609277387131922,876452
glove,15,0.014477800291690058,876452
glove,16,0.014352317497422294,876452
glove,17,0.014233578005471065,876452
glove,18,0.014119751151103152,876452
glove,19,0.014006430912079757,876452
glove,20,0.013896177005507389,876452
glove,21,0.013786294766060594,876452
glove,22,0.013676997165954547,876452
glove,23,0.013567252025940158,876452
glove,24,0.013459439833860564,876452
glove,25,0.013350748391861563,876452
